shipment_id,region,transport_mode,shipment_volume,distance_km,delivery_time_days,transport_cost,delivery_status
SHP0049,East,Road,211.63,738.75,7.77,3268.3,On Time
SHP0050,North,Rail,61.5,898.83,8.29,2462.08,On Time
SHP0051,West,Road,70.72,502.51,8.1,1880.97,On Time
SHP0052,West,Rail,103.69,834.63,6.15,2677.77,On Time
SHP0053,West,Road,106.4,541.79,6.04,1972.33,On Time
SHP0054,West,Road,80.14,745.06,6.98,2200.04,Delayed
SHP0055,East,Air,54.54,469.18,1.95,1567.13,On Time
SHP0056,West,Road,87.03,395.0,5.81,1426.18,On Time
SHP0057,North,Road,211.51,675.72,4.73,3309.31,On Time
SHP0058,North,Road,65.3,122.14,1.71,1005.3,On Time
SHP0059,North,Rail,100.29,567.05,1.0,2066.02,On Time
SHP0060,South,Road,283.57,200.21,3.46,2989.57,On Time
SHP0061,South,Rail,64.76,868.19,5.82,2328.82,Delayed
SHP0062,South,Road,127.17,944.03,6.63,2927.28,Delayed
SHP0063,West,Road,216.18,408.09,2.55,2510.12,On Time
SHP0064,South,Road,121.47,769.93,5.83,2669.39,On Time
SHP0065,South,Road,156.18,901.76,7.8,3172.52,Delayed
SHP0066,East,Road,136.15,902.69,6.2,2809.68,On Time
SHP0067,North,Road,116.42,710.05,6.37,2403.15,On Time
SHP0068,West,Road,176.9,855.61,8.29,3027.31,On Time
SHP0069,North,Air,125.08,468.19,1.99,1892.56,On Time
SHP0070,West,Road,80.6,673.27,4.85,1723.13,On Time
SHP0071,West,Road,96.18,519.21,5.91,1877.05,On Time
SHP0072,North,Rail,108.33,444.54,6.12,1502.64,On Time
SHP0073,North,Road,70.48,660.1,6.13,1900.94,On Time
SHP0074,West,Road,98.53,747.31,4.63,2244.09,On Time
SHP0075,East,Rail,91.0,975.78,8.16,2987.91,On Time
SHP0076,East,Air,124.87,724.24,2.96,2309.33,On Time
SHP0077,West,Road,246.03,829.74,7.85,3474.27,On Time
SHP0078,North,Air,101.68,832.92,2.96,2481.23,On Time
SHP0079,South,Road,192.78,1402.51,7.84,4202.97,On Time
SHP0080,North,Road,122.54,143.19,3.19,1712.32,On Time
SHP0081,West,Road,98.29,457.38,1.0,1575.74,On Time
SHP0082,East,Air,68.23,1062.74,3.37,2667.46,Delayed
SHP0083,South,Road,98.69,551.44,3.56,2080.98,On Time
SHP0084,North,Road,95.46,898.02,5.15,2836.05,On Time
SHP0085,South,Road,58.16,714.4,4.94,1929.89,On Time
SHP0086,South,Road,63.63,1239.46,10.97,2630.22,Delayed
SHP0087,East,Road,108.82,338.34,4.22,1645.99,On Time
SHP0088,East,Road,191.78,992.1,6.35,3840.81,On Time
SHP0089,West,Road,85.43,1139.88,9.77,3088.59,On Time
SHP0090,South,Road,34.32,365.96,2.37,1224.72,On Time
SHP0091,North,Road,18.04,869.2,4.77,1772.9,On Time
SHP0092,East,Road,46.9,379.66,4.5,1036.62,On Time
SHP0093,West,Road,128.85,658.45,6.21,2441.4,On Time
SHP0094,East,Road,38.95,578.16,3.91,1296.81,On Time
SHP0095,West,Air,139.63,50.0,1.0,1534.12,On Time
SHP0096,South,Road,125.17,768.79,8.44,2433.2,Delayed
SHP0097,East,Rail,83.82,690.13,3.38,2154.45,On Time
SHP0098,South,Road,58.47,1064.14,7.3,2265.5,On Time
SHP0099,North,Road,77.18,821.12,6.36,2272.35,On Time
SHP0100,North,Road,107.39,1291.45,11.02,3218.29,On Time
SHP0101,North,Road,39.78,679.97,5.78,1299.5,On Time
SHP0102,East,Road,181.81,620.45,5.29,2881.66,On Time
SHP0103,South,Road,106.86,598.38,4.49,2519.45,On Time
SHP0104,South,Road,113.43,526.92,5.68,2320.33,On Time
SHP0105,West,Road,124.7,50.0,2.01,1400.23,On Time
SHP0106,North,Road,172.75,588.35,2.7,2542.38,On Time
SHP0107,South,Road,98.82,71.0,3.22,1273.37,On Time
SHP0108,East,Road,128.89,776.57,6.72,2931.43,On Time
SHP0109,North,Road,59.05,302.78,4.23,1268.3,Delayed
SHP0110,North,Rail,212.08,399.59,4.33,2309.23,On Time
SHP0111,South,Road,95.2,462.57,3.11,1703.04,On Time
SHP0112,North,Rail,58.88,592.62,2.06,2162.15,On Time
SHP0113,West,Road,68.24,651.92,5.59,1954.02,Delayed
SHP0114,West,Road,23.91,953.65,8.61,1479.82,On Time
SHP0115,East,Air,67.99,488.29,2.88,1334.48,On Time
SHP0116,West,Air,14.43,784.44,4.0,1725.28,On Time
SHP0117,West,Road,133.87,1414.64,9.73,4139.7,On Time
SHP0118,North,Road,111.6,755.66,7.11,2432.66,On Time
SHP0119,West,Rail,48.69,599.46,7.28,1956.1,On Time
SHP0120,East,Rail,86.31,431.84,3.66,1572.06,On Time
SHP0121,West,Road,88.49,595.59,5.97,1583.13,On Time
SHP0122,West,Road,42.57,401.86,3.19,1194.64,On Time
SHP0123,South,Road,78.11,725.23,6.85,2259.61,On Time
SHP0124,North,Road,90.01,678.99,3.58,2242.81,On Time
SHP0125,North,Road,76.91,50.0,1.0,615.72,On Time
SHP0126,South,Road,58.84,644.8,7.1,1809.18,On Time
SHP0127,West,Road,47.54,951.32,8.4,2974.67,Delayed
SHP0128,West,Rail,75.39,538.25,6.42,1536.74,On Time
SHP0129,North,Road,63.14,467.19,4.21,1726.59,Delayed
SHP0130,East,Road,120.37,264.24,1.0,1163.54,On Time
SHP0131,South,Rail,178.26,129.76,2.69,1993.57,On Time
SHP0132,North,Air,143.18,882.78,3.85,2774.8,On Time
SHP0133,North,Road,91.67,599.19,4.13,2134.45,On Time
SHP0134,South,Road,60.18,866.17,5.92,2032.93,On Time
SHP0135,West,Road,141.17,1078.77,9.84,3392.41,On Time
SHP0136,South,Road,124.23,907.95,7.11,2676.92,On Time
SHP0137,East,Road,171.84,498.14,4.62,2297.93,On Time
SHP0138,East,Road,98.88,690.56,6.03,2370.92,Delayed
SHP0139,South,Road,206.34,477.86,3.14,2580.8,On Time
SHP0140,West,Road,98.9,451.68,4.47,1903.61,On Time
SHP0141,West,Road,60.01,745.99,7.73,2045.46,Delayed
SHP0142,North,Road,66.68,416.96,6.18,1527.14,On Time
SHP0143,South,Road,117.35,50.0,2.01,1293.06,On Time
SHP0144,South,Road,63.04,401.32,3.76,1378.32,On Time
SHP0145,South,Road,205.6,564.07,5.48,2614.63,On Time
SHP0146,North,Air,112.23,1075.99,4.29,2989.02,On Time
SHP0147,East,Road,90.57,512.54,5.84,2136.06,On Time
SHP0148,South,Rail,94.78,793.34,5.83,2463.77,On Time
SHP0149,North,Rail,76.45,602.87,5.16,1752.96,On Time
SHP0150,South,Road,28.81,993.39,6.12,2411.83,On Time
SHP0151,West,Road,66.7,973.99,5.88,2673.89,On Time
SHP0152,North,Road,192.49,979.33,7.43,3638.78,On Time
SHP0153,North,Road,100.33,164.48,3.47,1069.85,On Time
SHP0154,South,Rail,151.74,707.88,5.8,2552.92,On Time
SHP0155,West,Road,154.0,862.5,7.66,2864.89,On Time
SHP0156,North,Road,86.76,756.83,7.15,2229.35,On Time
SHP0157,East,Road,125.3,828.25,8.19,2852.0,On Time
SHP0158,West,Road,31.03,666.34,5.56,1783.94,On Time
SHP0159,North,Road,184.46,441.46,3.12,2524.78,On Time
SHP0160,East,Road,176.74,174.81,1.11,2175.58,Delayed
SHP0161,South,Road,115.63,469.24,2.94,2130.34,On Time
SHP0162,East,Air,102.3,1399.87,5.7,3615.81,On Time
SHP0163,East,Road,87.4,514.02,2.27,1591.67,On Time
SHP0164,East,Road,160.88,101.37,3.46,1461.97,On Time
SHP0165,North,Road,132.94,855.14,5.12,2784.27,On Time
SHP0166,West,Road,10.0,889.53,5.83,2167.51,On Time
SHP0167,South,Road,71.81,1010.45,7.61,2672.39,On Time
SHP0168,North,Road,43.76,781.87,4.93,1889.4,On Time
SHP0169,North,Road,38.54,886.77,7.64,2032.65,On Time
SHP0170,East,Road,159.99,1165.26,9.81,3618.65,On Time
SHP0171,East,Road,86.35,441.27,2.94,1901.82,Delayed
SHP0172,North,Air,114.62,385.72,1.69,2162.57,On Time
SHP0173,East,Road,92.55,343.52,3.04,1521.53,On Time
SHP0174,North,Road,38.87,575.58,5.4,1595.31,On Time
SHP0175,East,Road,31.52,1051.36,6.78,2186.94,Delayed
SHP0176,North,Air,69.0,797.86,4.25,2680.06,On Time
SHP0177,East,Road,72.4,786.83,6.99,1949.8,On Time
SHP0178,South,Road,72.38,140.59,1.0,1287.73,On Time
SHP0179,West,Air,73.59,455.91,2.72,1557.75,On Time
SHP0180,North,Rail,237.62,136.02,4.87,2128.69,On Time
SHP0181,South,Rail,150.55,977.95,7.96,2963.0,On Time
SHP0182,North,Road,101.1,1093.98,7.2,3587.06,On Time
SHP0183,West,Road,85.15,868.28,5.92,2557.06,Delayed
SHP0184,West,Rail,86.82,373.7,3.52,1585.9,On Time
SHP0185,North,Air,130.41,1064.97,2.89,3416.6,On Time
SHP0186,East,Road,84.71,579.09,2.84,1812.38,On Time
SHP0187,West,Road,142.61,309.95,3.49,1878.88,Delayed
SHP0188,East,Road,107.08,379.97,5.3,1757.4,On Time
SHP0189,East,Rail,238.74,529.56,3.98,2904.01,On Time
SHP0190,North,Road,81.89,663.88,4.35,2359.48,On Time
SHP0191,North,Road,156.14,604.82,7.07,2492.1,On Time
SHP0192,West,Road,46.29,254.45,1.55,708.94,On Time
SHP0193,West,Road,61.08,989.73,5.08,2492.23,On Time
SHP0194,East,Road,222.32,607.83,3.61,3097.06,Delayed
SHP0195,South,Road,139.47,450.15,3.45,1924.73,On Time
SHP0196,South,Road,115.73,960.88,5.02,2734.44,On Time
SHP0197,East,Road,270.42,318.65,2.95,2733.43,On Time
SHP0198,West,Road,85.83,193.91,4.0,1500.8,On Time
SHP0199,West,Road,155.95,1006.3,5.69,3194.38,Delayed
SHP0200,West,Road,161.94,1179.59,8.58,3990.16,On Time
SHP0201,East,Road,197.5,520.61,4.66,2555.1,On Time
SHP0202,North,Road,42.94,637.13,4.93,1824.06,On Time
SHP0203,North,Road,85.51,328.93,3.57,1388.12,On Time
SHP0204,West,Road,106.08,651.54,5.64,2419.4,On Time
SHP0205,East,Road,195.83,516.8,3.15,2424.6,On Time
SHP0206,North,Air,113.24,621.4,3.8,2413.39,On Time
SHP0207,North,Road,162.12,764.59,7.37,2913.67,Delayed
SHP0208,East,Rail,40.49,342.52,5.41,1033.64,On Time
SHP0209,North,Road,74.65,548.69,5.87,1785.83,Delayed
SHP0210,North,Rail,176.39,144.94,1.0,2155.79,On Time
SHP0211,East,Rail,80.32,550.6,6.3,1898.87,On Time
SHP0212,East,Road,89.45,623.84,5.53,1921.53,On Time
SHP0213,East,Road,194.21,714.12,3.3,2768.34,On Time
SHP0214,North,Road,52.81,717.08,5.2,2089.69,On Time
SHP0215,East,Road,60.49,903.1,6.53,2432.63,On Time
SHP0216,North,Air,37.73,218.89,2.68,1071.78,On Time
SHP0217,South,Rail,198.23,233.84,4.73,1829.31,On Time
SHP0218,East,Air,149.1,798.11,2.51,2596.76,On Time
SHP0219,East,Road,147.13,79.09,3.94,1726.08,On Time
SHP0220,West,Rail,73.45,701.32,6.58,2176.26,On Time
SHP0221,East,Air,35.89,319.52,1.54,1213.59,On Time
SHP0222,East,Road,29.35,1090.39,6.78,2300.11,On Time
SHP0223,North,Road,177.07,720.13,3.39,2700.45,On Time
SHP0224,South,Rail,119.84,588.64,5.85,2455.26,Delayed
SHP0225,North,Road,132.11,993.76,7.67,3327.43,On Time
SHP0226,North,Rail,103.43,352.25,3.4,1425.55,On Time
SHP0227,West,Road,56.16,405.45,4.51,1130.05,On Time
SHP0228,South,Rail,75.4,296.79,2.56,1325.55,On Time
SHP0229,West,Road,47.97,407.79,3.76,1178.7,On Time
SHP0230,East,Road,44.26,667.11,5.34,1639.04,On Time
SHP0231,West,Road,142.75,788.31,6.43,2513.07,Delayed
SHP0232,South,Rail,31.18,919.2,5.72,2097.25,On Time
SHP0233,East,Rail,48.17,139.08,1.86,591.49,On Time
SHP0234,South,Road,77.94,601.88,7.73,1707.12,On Time
SHP0235,North,Road,94.02,339.71,2.75,1636.26,On Time
SHP0236,East,Air,37.42,592.52,2.51,1614.32,On Time
SHP0237,South,Road,30.62,1303.57,9.49,3033.12,On Time
SHP0238,North,Rail,112.47,731.72,8.74,2091.04,On Time
SHP0239,East,Road,100.3,901.85,7.78,2687.92,Delayed
SHP0240,North,Road,175.48,1198.99,9.21,4270.86,Delayed
SHP0241,West,Road,94.9,965.66,5.88,2684.61,On Time
SHP0242,West,Road,118.59,524.58,5.13,2287.55,Delayed
SHP0243,West,Rail,58.09,292.77,4.67,1391.43,On Time
SHP0244,South,Road,59.57,641.56,4.57,2076.07,On Time
SHP0245,North,Road,40.01,491.04,3.1,1489.71,On Time
SHP0246,West,Air,58.43,223.13,2.86,1206.71,On Time
SHP0247,South,Road,74.77,717.46,5.6,2297.71,Delayed
SHP0248,West,Road,166.5,724.45,8.01,2985.0,On Time
SHP0249,West,Air,53.22,1145.35,5.29,2549.47,Delayed
SHP0250,West,Road,244.25,548.71,5.33,2718.82,On Time
SHP0251,South,Road,124.14,728.43,6.75,2193.31,Delayed
SHP0252,South,Air,110.92,463.66,1.36,1873.46,Delayed
SHP0253,West,Road,90.87,894.49,7.08,2731.7,On Time
SHP0254,South,Road,81.54,615.11,7.44,1757.3,On Time
SHP0255,North,Road,63.69,321.67,4.17,1512.12,On Time
SHP0256,East,Rail,36.43,646.23,5.78,1610.55,On Time
SHP0257,West,Road,54.35,759.35,8.34,1961.96,On Time
SHP0258,East,Road,197.98,721.48,5.0,2891.71,On Time
SHP0259,East,Air,120.15,942.85,3.1,2497.86,Delayed
SHP0260,North,Rail,197.07,244.54,3.52,2213.1,On Time
SHP0261,East,Road,62.73,414.03,4.56,1853.9,On Time
SHP0262,West,Road,47.11,829.14,4.07,2134.88,On Time
SHP0263,North,Road,90.38,446.92,4.35,1339.84,Delayed
SHP0264,East,Rail,55.57,717.33,7.14,2171.37,On Time
SHP0265,West,Road,100.83,50.0,1.5,713.79,Delayed
SHP0266,East,Road,31.54,1410.47,10.24,2870.46,On Time
SHP0267,East,Rail,21.81,574.48,6.04,1422.63,Delayed
SHP0268,East,Air,108.64,984.31,5.1,2932.02,On Time
SHP0269,South,Road,200.84,555.67,3.97,2560.18,On Time
SHP0270,South,Rail,111.23,766.12,8.65,2448.81,On Time
SHP0271,West,Road,119.5,1067.74,6.41,3302.26,On Time
SHP0272,West,Rail,92.51,976.43,5.83,2956.5,On Time
SHP0273,West,Road,97.38,592.75,2.25,2351.87,On Time
SHP0274,West,Road,35.23,612.13,5.88,2067.37,On Time
SHP0275,East,Rail,56.84,931.0,7.55,2593.34,Delayed
SHP0276,South,Road,165.62,1303.31,8.93,3890.74,On Time
SHP0277,West,Road,44.62,703.84,3.26,2080.97,On Time
SHP0278,East,Rail,73.82,1197.98,7.93,3152.46,On Time
SHP0279,East,Rail,163.89,582.4,5.18,2667.12,On Time
SHP0280,West,Road,95.92,916.55,8.0,2719.81,Delayed
SHP0281,West,Rail,98.58,958.32,8.21,2579.54,Delayed
SHP0282,South,Road,74.14,535.21,5.28,1566.76,On Time
SHP0283,South,Road,128.84,440.82,3.81,2002.46,On Time
SHP0284,North,Road,145.39,970.71,9.17,3187.52,Delayed
SHP0285,East,Road,54.99,501.16,2.81,1435.13,On Time
SHP0286,North,Air,37.5,399.58,1.55,1353.6,On Time
SHP0287,South,Road,25.04,458.49,3.75,1736.67,On Time
SHP0288,East,Road,116.46,500.03,4.73,1659.77,On Time
SHP0289,South,Road,109.47,889.85,5.6,2859.85,On Time
SHP0290,East,Air,279.92,794.21,3.18,3813.89,On Time
SHP0291,North,Road,92.81,850.38,6.44,2630.92,Delayed
SHP0292,North,Road,83.83,767.99,4.86,2213.14,On Time
SHP0293,West,Road,102.67,483.72,4.85,1876.96,On Time
SHP0294,South,Road,105.68,845.19,5.37,2646.96,On Time
SHP0295,North,Road,80.23,981.09,5.5,2619.44,On Time
SHP0296,East,Air,56.09,813.66,3.21,1852.11,On Time
SHP0297,West,Air,90.08,775.9,2.11,2318.34,On Time
SHP0298,North,Road,88.21,435.22,1.13,1396.91,On Time
SHP0299,East,Rail,87.43,709.31,6.7,2367.08,On Time
SHP0300,North,Air,135.97,420.33,2.86,1628.01,On Time
SHP0301,North,Rail,89.18,643.27,5.14,2337.4,On Time
SHP0302,East,Road,38.05,190.73,1.61,962.25,On Time
SHP0303,East,Road,61.63,192.88,3.68,1144.07,On Time
SHP0304,East,Road,79.67,596.51,3.16,1474.76,On Time
SHP0305,East,Road,91.52,496.44,2.36,1777.33,On Time
SHP0306,West,Rail,117.76,679.9,7.48,2648.83,On Time
SHP0307,East,Air,91.92,612.26,2.57,1958.6,On Time
SHP0308,South,Air,22.17,658.45,3.96,1400.14,On Time
SHP0309,West,Road,41.02,820.41,3.44,1946.35,On Time
SHP0310,South,Road,122.04,520.28,2.83,2108.85,On Time
SHP0311,South,Air,78.45,588.56,2.9,1739.34,On Time
SHP0312,North,Rail,96.28,1057.41,9.11,3222.63,On Time
SHP0313,North,Road,72.91,650.86,6.22,1989.23,On Time
SHP0314,West,Air,61.48,599.82,2.92,1698.54,On Time
SHP0315,West,Rail,74.43,673.1,6.59,1770.85,Delayed
SHP0316,East,Road,96.91,604.82,4.14,2202.56,On Time
SHP0317,South,Road,88.82,451.32,6.68,1845.21,On Time
SHP0318,North,Road,144.89,370.55,2.12,1836.47,On Time
SHP0319,North,Road,33.35,436.24,4.39,806.99,On Time
SHP0320,North,Road,36.51,894.42,5.18,2283.58,On Time
SHP0321,East,Rail,77.93,473.63,5.27,1663.29,On Time
SHP0322,East,Road,118.47,606.62,3.35,2335.08,Delayed
SHP0323,East,Road,132.13,846.21,6.81,3249.32,On Time
SHP0324,South,Road,62.93,572.05,5.31,1772.98,Delayed
SHP0325,West,Road,12.09,827.34,8.78,1769.55,On Time
SHP0326,East,Air,64.14,218.58,1.23,863.93,On Time
SHP0327,East,Road,109.66,612.9,5.18,2138.19,On Time
SHP0328,East,Road,87.91,672.09,4.01,2191.59,On Time
SHP0329,South,Rail,120.78,656.48,6.04,2384.86,On Time
SHP0330,North,Road,162.65,187.18,2.68,2174.68,On Time
SHP0331,South,Road,81.0,986.87,5.5,2812.35,On Time
SHP0332,East,Road,68.36,410.69,1.84,1483.38,Delayed
SHP0333,North,Road,51.48,743.81,6.41,1863.92,Delayed
SHP0334,North,Road,36.37,652.23,4.93,1790.69,On Time
SHP0335,North,Road,30.12,931.04,5.9,2015.34,On Time
SHP0336,North,Road,59.33,1262.5,7.56,3103.3,On Time
SHP0337,West,Air,151.23,288.7,1.27,2009.98,On Time
SHP0338,East,Road,126.92,468.3,4.04,2014.03,On Time
SHP0339,South,Road,66.51,702.95,6.58,1915.76,On Time
SHP0340,North,Road,245.45,340.5,1.0,2227.03,On Time
SHP0341,South,Road,61.78,869.01,8.98,2586.12,On Time
SHP0342,South,Rail,170.63,886.14,10.33,3272.12,Delayed
SHP0343,North,Road,191.45,806.65,2.95,3282.56,On Time
SHP0344,South,Air,113.62,716.24,4.17,2089.49,Delayed
SHP0345,South,Road,59.0,1033.52,9.47,2929.78,On Time
SHP0346,East,Road,71.68,326.42,3.15,1275.47,On Time
SHP0347,East,Road,98.19,668.28,3.35,2162.62,On Time
SHP0348,North,Air,37.06,443.14,2.9,1104.64,On Time
SHP0349,South,Road,48.53,899.18,6.8,1899.29,On Time
SHP0350,East,Road,46.06,136.66,2.82,1079.76,On Time
SHP0351,South,Road,118.18,642.14,8.75,2609.49,On Time
SHP0352,West,Rail,161.84,743.87,7.2,2810.72,On Time
SHP0353,East,Road,129.53,384.7,2.32,1772.95,On Time
SHP0354,North,Air,148.13,474.67,2.04,2149.9,On Time
SHP0355,North,Road,56.05,654.31,4.11,1806.65,On Time
SHP0356,East,Road,73.54,917.43,6.8,2250.7,On Time
SHP0357,North,Road,76.75,360.8,2.46,1416.82,On Time
SHP0358,East,Road,113.38,409.63,3.0,1882.31,On Time
SHP0359,West,Road,60.31,965.16,5.45,2730.15,Delayed
SHP0360,East,Road,143.4,573.57,4.29,2388.4,On Time
SHP0361,South,Rail,188.71,432.29,5.23,2109.88,On Time
SHP0362,East,Road,116.45,854.03,2.62,2793.84,On Time
SHP0363,South,Road,71.7,513.3,5.16,1676.7,On Time
SHP0364,East,Road,53.08,937.68,6.32,2701.18,On Time
SHP0365,West,Road,46.13,464.16,3.24,1762.37,On Time
SHP0366,South,Road,22.35,605.31,8.25,1859.88,On Time
SHP0367,West,Road,78.09,914.59,8.22,2419.87,Delayed
SHP0368,West,Road,75.58,586.65,3.5,2339.22,On Time
SHP0369,North,Rail,138.82,861.69,8.48,2975.6,On Time
SHP0370,North,Air,62.67,631.65,3.64,2247.97,On Time
SHP0371,North,Road,80.6,1204.87,8.37,3003.17,Delayed
SHP0372,North,Road,103.51,1089.26,8.02,3000.19,On Time
SHP0373,North,Road,115.45,278.13,3.49,1674.61,On Time
SHP0374,East,Road,130.55,796.23,3.05,2745.41,On Time
SHP0375,North,Road,98.0,421.41,3.6,2031.7,On Time
SHP0376,South,Road,38.48,703.62,5.61,1794.38,Delayed
SHP0377,West,Rail,110.11,669.14,8.55,2573.41,On Time
SHP0378,North,Rail,60.01,354.49,4.49,1504.71,On Time
SHP0379,West,Road,165.78,946.38,6.69,3214.54,Delayed
SHP0380,South,Road,89.73,706.92,5.84,2380.17,On Time
SHP0381,North,Road,101.21,570.29,6.0,1958.52,On Time
SHP0382,East,Rail,291.74,527.33,4.58,3927.0,On Time
SHP0383,East,Road,131.75,689.14,4.2,1931.33,Delayed
SHP0384,West,Road,109.05,764.22,5.66,2637.91,On Time
SHP0385,East,Rail,81.95,615.01,6.71,1614.89,On Time
SHP0386,West,Road,40.58,50.0,2.54,569.74,On Time
SHP0387,South,Rail,78.65,654.73,6.57,2035.06,On Time
SHP0388,North,Road,52.68,246.39,3.12,1414.92,On Time
SHP0389,East,Road,200.61,591.35,3.85,2695.89,On Time
SHP0390,West,Road,109.82,256.72,2.81,1819.19,On Time
SHP0391,West,Rail,162.65,253.38,2.47,1661.99,On Time
SHP0392,South,Rail,61.62,995.83,8.41,2870.52,Delayed
SHP0393,South,Rail,55.03,560.37,8.05,1593.05,On Time
SHP0394,West,Road,125.05,538.93,3.25,2198.0,On Time
SHP0395,South,Rail,51.39,785.11,6.28,2023.13,On Time
SHP0396,West,Road,68.61,546.23,3.05,2054.52,On Time
SHP0397,West,Road,205.55,1239.07,6.8,4355.17,On Time
SHP0398,South,Air,70.21,573.55,2.69,1933.88,On Time
SHP0399,East,Road,35.11,752.24,4.63,1659.15,On Time
SHP0400,East,Road,26.69,921.86,8.47,2014.4,Delayed
SHP0401,North,Road,32.3,1098.63,7.24,2323.39,On Time
SHP0402,West,Road,167.63,442.24,5.91,1822.87,On Time
SHP0403,South,Road,63.91,532.97,6.29,1989.49,On Time
SHP0404,West,Road,286.97,1006.89,7.16,4213.24,On Time
SHP0405,South,Road,189.84,876.82,10.03,3235.26,On Time
SHP0406,West,Air,230.89,951.05,4.12,4087.8,Delayed
SHP0407,South,Rail,150.11,266.76,6.26,1747.92,Delayed
SHP0408,North,Road,121.59,1083.44,9.33,3005.54,Delayed
SHP0409,West,Road,53.83,436.81,4.69,1404.2,Delayed
SHP0410,North,Road,88.5,703.84,6.39,1971.85,On Time
SHP0411,South,Road,128.09,608.5,6.26,2412.57,On Time
SHP0412,West,Road,145.29,404.02,2.37,1995.13,On Time
SHP0413,West,Road,43.08,254.49,3.14,915.02,On Time
SHP0414,East,Road,79.36,161.72,3.61,991.84,On Time
SHP0415,East,Road,84.61,683.33,6.92,2129.53,On Time
SHP0416,South,Road,82.74,222.91,1.98,1282.43,On Time
SHP0417,South,Road,46.8,332.53,4.44,1088.41,On Time
SHP0418,South,Air,216.85,588.95,3.01,2886.44,On Time
SHP0419,East,Rail,77.85,50.0,1.77,880.97,On Time
SHP0420,East,Road,48.94,868.11,6.45,2196.32,On Time
SHP0421,West,Rail,219.62,50.0,2.49,1968.97,On Time
SHP0422,West,Road,189.93,628.34,5.98,2689.45,On Time
SHP0423,North,Air,95.87,654.21,3.85,2403.05,On Time
SHP0424,South,Rail,26.52,800.66,8.81,1961.43,On Time
SHP0425,North,Road,67.41,638.33,5.45,1827.58,On Time
SHP0426,East,Road,30.58,1215.01,10.14,2833.64,Delayed
SHP0427,South,Road,116.8,710.57,7.58,2429.71,On Time
SHP0428,West,Road,64.68,945.01,6.96,2119.21,On Time
SHP0429,South,Road,87.3,447.43,2.64,1799.9,On Time
